               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11756,            0.030134,                   0,          0.00013605,            0.095238,          8.4567e-05,          2.5095e-05,             0.10911,            0.015791,                   0,              0.0892,              0.0012,              0.0012
                   1,            0.099823,            0.025548,                   0,          0.00013605,            0.095238,          7.6577e-05,          2.9523e-05,             0.10135,            0.010321,                   0,            0.077475,           0.0024753,           0.0024753
                   2,            0.083503,            0.025119,                   0,             0.03082,            0.095238,           0.0071447,           0.0024573,            0.093512,            0.009943,                   0,            0.065725,           0.0037248,           0.0037248
                   3,            0.073429,            0.024886,                   0,            0.070918,            0.047619,            0.010951,           0.0023847,            0.089158,            0.011713,                   0,            0.053949,           0.0049485,           0.0049485
                   4,            0.068452,            0.022925,                   0,            0.067242,            0.047619,           0.0090265,            0.002667,            0.078404,            0.010301,                   0,            0.042147,           0.0061466,           0.0061466
                   5,            0.063976,            0.021368,                   0,            0.038669,            0.095238,            0.013225,           0.0044873,            0.077663,            0.010539,                   0,            0.030319,           0.0073188,           0.0073188
                   6,             0.06318,            0.020283,                   0,            0.091156,            0.095238,            0.020862,           0.0087986,            0.071696,           0.0092652,                   0,            0.018465,           0.0084654,           0.0084654
                   7,            0.058299,            0.022664,                   0,             0.15156,            0.095238,            0.037374,            0.011179,             0.06721,           0.0098255,                   0,            0.009307,            0.009307,            0.009307
                   8,            0.056984,            0.019443,                   0,             0.13219,            0.095238,            0.049488,            0.022036,            0.066026,            0.010453,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.053927,            0.018899,                   0,             0.10421,             0.42857,             0.10382,            0.028516,            0.060901,            0.010796,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.049086,            0.018582,                   0,             0.12859,             0.28571,            0.099885,            0.031768,            0.059879,            0.011382,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.046682,            0.017049,                   0,             0.13187,             0.38095,              0.1268,            0.047435,            0.055015,           0.0093935,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.045793,            0.018125,                   0,             0.66175,            0.095238,             0.13958,            0.052443,            0.054989,           0.0099606,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.043828,            0.016365,                   0,             0.25602,              0.2381,             0.13782,            0.051319,            0.061139,           0.0088959,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.043147,            0.015532,                   0,             0.15818,             0.38095,             0.10881,            0.040481,            0.055174,           0.0068073,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.04302,            0.015662,                   0,             0.44972,             0.31215,             0.27231,             0.13792,            0.050823,           0.0072811,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.041435,            0.016945,                   0,             0.31537,             0.33333,             0.16373,            0.095112,            0.048631,           0.0064121,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.038565,             0.01592,                   0,             0.39765,             0.33333,             0.27404,             0.13803,            0.048955,           0.0060411,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.038859,             0.01601,                   0,             0.33037,             0.47619,             0.34071,             0.18428,            0.048857,           0.0050418,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.03948,            0.014728,                   0,             0.24297,             0.55046,             0.22282,             0.11107,            0.045445,           0.0058963,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.03808,            0.014707,                   0,             0.19327,             0.57143,             0.21299,             0.10257,            0.047141,           0.0066972,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.037027,            0.014975,                   0,             0.17496,             0.57143,             0.17875,            0.090493,            0.049121,           0.0058579,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.03749,            0.014035,                   0,             0.14374,             0.52381,             0.18072,              0.0888,            0.053574,           0.0078848,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.036694,            0.013867,                   0,             0.17453,             0.42857,             0.17679,            0.092078,            0.044939,           0.0070756,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.035651,            0.013758,                   0,             0.22657,             0.42857,             0.17787,             0.08738,             0.04562,           0.0071122,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.033702,            0.013659,                   0,             0.24992,             0.47619,             0.18508,             0.09477,            0.046482,           0.0069004,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.034286,            0.013671,                   0,             0.27151,             0.47619,             0.31569,             0.12398,            0.049072,           0.0066378,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.032432,            0.013417,                   0,               0.344,             0.28571,             0.21568,            0.087338,            0.047804,           0.0065549,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.033957,            0.013112,                   0,             0.10561,             0.28571,              0.1034,            0.053789,            0.051438,           0.0078946,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.032764,            0.012385,                   0,             0.19776,             0.42857,             0.11669,            0.057961,            0.047897,           0.0069695,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.033758,             0.01279,                   0,             0.25176,             0.47619,             0.15573,             0.06397,            0.050305,           0.0068522,                   0,            0.007129,            0.007129,            0.007129
